id_pagador,qtd_boletos,media_atraso,atraso_maximo,taxa_atraso,valor_total,ticket_medio,id_cnpj,cd_cnae_prin,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
0575aa4e4b50c894cd021d7cbf0774fa9ea670a1246c73c23a6d537f68e22595,4,0.0,0.0,0.0,9187.48,2296.87,0575aa4e4b50c894cd021d7cbf0774fa9ea670a1246c73c23a6d537f68e22595,8291100.0,SP,8630000000000000.0,9490000000000000.0,921.0,2063125.0,920.0,9932.0,977.0,989.0
058ebde151919f17434a9f2d1c6f204cd05dd01c42edebf1f16ed6494d2c9274,1,7.0,7.0,1.0,1100.0,1100.0,,,,,,,,,,,
059313ee8c4ea9971df4333d8ff4c31279ebda1eec1dc3832f8a1bad8817c1b2,6,0.16666666666666666,1.0,0.16666666666666666,364484.76,60747.46,059313ee8c4ea9971df4333d8ff4c31279ebda1eec1dc3832f8a1bad8817c1b2,2451200.0,RS,8950000000000000.0,9020000000000000.0,960.0,2.46e+16,970.0,1636.0,981.0,989.0
059731019d67de9e150b3ce72050261d72841409190bc453afcfeef96fabb791,3,0.0,0.0,0.0,721.24,240.41333333333333,,,,,,,,,,,
05a8d3240ebc93422268809cff1f097b23a544a283106a845baae550e8586a4e,2,1.5,3.0,0.5,3077.6099999999997,1538.8049999999998,,,,,,,,,,,
05b8460a04107e073e6709b746eb03db0685615148cd9dcb765b6aa44401335a,1,0.0,0.0,0.0,619.36,619.36,05b8460a04107e073e6709b746eb03db0685615148cd9dcb765b6aa44401335a,4322301.0,PR,9630000000000000.0,1000.0,771.0,70600.0,900.0,0.0,936.0,987.0
05dba64dfa88a6761d1c3c4551f5837b2eca86be0f9d38748481788b1b850285,1,0.0,0.0,0.0,10136.45,10136.45,05dba64dfa88a6761d1c3c4551f5837b2eca86be0f9d38748481788b1b850285,2123800.0,SP,9270000000000000.0,8510000000000000.0,853.0,1.41e+16,910.0,37528.0,963.0,988.0
060098be29951489cd374d0e1f3b9fe96b47e2efe42ae188d505cdbc304e9c7e,1,0.0,0.0,0.0,54533.28,54533.28,,,,,,,,,,,
060ad8d429acf5afc7c397a16f70c9b2e9c68f8f6e85001255d327b784a47a59,1,123.0,123.0,1.0,9900.0,9900.0,,,,,,,,,,,
0620a9b097c81f1f7414769ab6ad7533f66f4f2db5d2e0d14978d4d7a58fb2a4,1,0.0,0.0,0.0,54.2,54.2,,,,,,,,,,,
062aa39b04aa666244d5ff83ad0ff0dff9cad80ba0b217a5e8650aa670c99d72,1,0.0,0.0,0.0,175.2,175.2,,,,,,,,,,,
063de60114bf9a4c21e585b2422d895e4cebb0911a97a4ae4929cfc6d533db7d,1,6.0,6.0,1.0,1083.2,1083.2,,,,,,,,,,,
06494fadb889416aba60253f27333b27c4fb1db85e7e2975785f527b2cb7058b,1,0.0,0.0,0.0,247.19,247.19,06494fadb889416aba60253f27333b27c4fb1db85e7e2975785f527b2cb7058b,4753900.0,SC,8940000000000000.0,6980000000000000.0,858.0,8440000000000000.0,970.0,5159.0,982.0,988.0
0653ea898079dee7487a0137b658691354cd69b7c01b85c7c8eacbda649427d1,5,0.0,0.0,0.0,9421.5,1884.3,,,,,,,,,,,
0694eb7869a0358d5bbcd69039baefc7aa083c32369106356d43a31c82f02d60,2,0.0,0.0,0.0,12231.43,6115.715,,,,,,,,,,,
06a8b7e26fb7140e3937a840566895c03236f3c0b9264881f7922ed998246088,1,0.0,0.0,0.0,3971.58,3971.58,06a8b7e26fb7140e3937a840566895c03236f3c0b9264881f7922ed998246088,4649409.0,RJ,7530000000000000.0,8070000000000000.0,773.0,1.42e+16,880.0,6507.0,983.0,988.0
